7350
(-1.650000, 1.050000, -1.431249) (-1.750000, 1.050000, -1.431249) (0.000000, 1.000000) 
(-1.750000, 1.150000, -1.597337) (-1.750000, 1.050000, -1.597337) (0.000000, 1.000000) 
(-1.750000, 1.150000, -1.597337) (-1.750000, 1.050000, -1.597337) (0.000000, 1.000000) 
(-1.650000, 1.050000, -1.431249) (-1.750000, 1.050000, -1.431249) (0.000000, 1.000000) 
(-1.650000, 1.150000, -1.506061) (-1.750000, 1.050000, -1.506061) (0.000000, 1.000000) 
(-1.750000, 1.150000, -1.597337) (-1.750000, 1.150000, -1.597337) (0.000000, 1.000000) 
(-1.650000, 1.150000, -1.506061) (-1.750000, 1.150000, -1.506061) (0.000000, 1.000000) 
(-1.750000, 1.250000, -1.660723) (-1.750000, 1.150000, -1.660723) (0.000000, 1.000000) 
(-1.750000, 1.250000, -1.660723) (-1.750000, 1.150000, -1.660723) (0.000000, 1.000000) 
(-1.650000, 1.150000, -1.506061) (-1.750000, 1.150000, -1.506061) (0.000000, 1.000000) 
(-1.650000, 1.250000, -1.565825) (-1.750000, 1.150000, -1.565825) (0.000000, 1.000000) 
(-1.750000, 1.250000, -1.660723) (-1.750000, 1.250000, -1.660723) (0.000000, 1.000000) 
(-1.650000, 1.250000, -1.565825) (-1.750000, 1.250000, -1.565825) (0.000000, 1.000000) 
(-1.750000, 1.350000, -1.707516) (-1.750000, 1.250000, -1.707516) (0.000000, 1.000000) 
(-1.750000, 1.350000, -1.707516) (-1.750000, 1.250000, -1.707516) (0.000000, 1.000000) 
(-1.650000, 1.250000, -1.565825) (-1.750000, 1.250000, -1.565825) (0.000000, 1.000000) 
(-1.650000, 1.350000, -1.609944) (-1.750000, 1.250000, -1.609944) (0.000000, 1.000000) 
(-1.750000, 1.350000, -1.707516) (-1.750000, 1.350000, -1.707516) (0.000000, 1.000000) 
(-1.650000, 1.350000, -1.609944) (-1.750000, 1.350000, -1.609944) (0.000000, 1.000000) 
(-1.750000, 1.450000, -1.737248) (-1.750000, 1.350000, -1.737248) (0.000000, 1.000000) 
(-1.750000, 1.450000, -1.737248) (-1.750000, 1.350000, -1.737248) (0.000000, 1.000000) 
(-1.650000, 1.350000, -1.609944) (-1.750000, 1.350000, -1.609944) (0.000000, 1.000000) 
(-1.650000, 1.450000, -1.637977) (-1.750000, 1.350000, -1.637977) (0.000000, 1.000000) 
(-1.750000, 1.450000, -1.737248) (-1.750000, 1.450000, -1.737248) (0.000000, 1.000000) 
(-1.650000, 1.450000, -1.637977) (-1.750000, 1.450000, -1.637977) (0.000000, 1.000000) 
(-1.750000, 1.550000, -1.749622) (-1.750000, 1.450000, -1.749622) (0.000000, 1.000000) 
(-1.750000, 1.550000, -1.749622) (-1.750000, 1.450000, -1.749622) (0.000000, 1.000000) 
(-1.650000, 1.450000, -1.637977) (-1.750000, 1.450000, -1.637977) (0.000000, 1.000000) 
(-1.650000, 1.550000, -1.649643) (-1.750000, 1.450000, -1.649643) (0.000000, 1.000000) 
(-1.750000, 1.550000, -1.749622) (-1.750000, 1.550000, -1.749622) (0.000000, 1.000000) 
(-1.650000, 1.550000, -1.649643) (-1.750000, 1.550000, -1.649643) (0.000000, 1.000000) 
(-1.750000, 1.650000, -1.744514) (-1.750000, 1.550000, -1.744514) (0.000000, 1.000000) 
(-1.750000, 1.650000, -1.744514) (-1.750000, 1.550000, -1.744514) (0.000000, 1.000000) 
(-1.650000, 1.550000, -1.649643) (-1.750000, 1.550000, -1.649643) (0.000000, 1.000000) 
