24576
(-7.750000, 0.185790, -4.250000) (0.000000, 0.000000, 0.185790) (0.000000, 1.000000) 
(-8.000000, -0.220230, -4.000000) (0.000000, 0.000000, -0.220230) (0.000000, 1.000000) 
(-8.000000, -0.220230, -4.000000) (0.000000, 0.000000, -0.220230) (0.000000, 1.000000) 
(-7.750000, 0.185790, -4.250000) (0.000000, 0.000000, 0.185790) (0.000000, 1.000000) 
(-7.750000, 0.157104, -4.000000) (0.000000, 0.000000, 0.157104) (0.000000, 1.000000) 
(-8.000000, -0.220230, -4.000000) (0.000000, 0.000000, -0.220230) (0.000000, 1.000000) 
(-7.750000, 0.157104, -4.000000) (0.000000, 0.000000, 0.157104) (0.000000, 1.000000) 
(-8.000000, -0.166324, -3.750000) (0.000000, 0.000000, -0.166324) (0.000000, 1.000000) 
(-8.000000, -0.166324, -3.750000) (0.000000, 0.000000, -0.166324) (0.000000, 1.000000) 
(-7.750000, 0.157104, -4.000000) (0.000000, 0.000000, 0.157104) (0.000000, 1.000000) 
(-7.750000, 0.118650, -3.750000) (0.000000, 0.000000, 0.118650) (0.000000, 1.000000) 
(-8.000000, -0.166324, -3.750000) (0.000000, 0.000000, -0.166324) (0.000000, 1.000000) 
(-7.750000, 0.118650, -3.750000) (0.000000, 0.000000, 0.118650) (0.000000, 1.000000) 
(-8.000000, -0.102078, -3.500000) (0.000000, 0.000000, -0.102078) (0.000000, 1.000000) 
(-8.000000, -0.102078, -3.500000) (0.000000, 0.000000, -0.102078) (0.000000, 1.000000) 
(-7.750000, 0.118650, -3.750000) (0.000000, 0.000000, 0.118650) (0.000000, 1.000000) 
(-7.750000, 0.072819, -3.500000) (0.000000, 0.000000, 0.072819) (0.000000, 1.000000) 
(-8.000000, -0.102078, -3.500000) (0.000000, 0.000000, -0.102078) (0.000000, 1.000000) 
(-7.750000, 0.072819, -3.500000) (0.000000, 0.000000, 0.072819) (0.000000, 1.000000) 
(-8.000000, -0.031485, -3.250000) (0.000000, 0.000000, -0.031485) (0.000000, 1.000000) 
(-8.000000, -0.031485, -3.250000) (0.000000, 0.000000, -0.031485) (0.000000, 1.000000) 
(-7.750000, 0.072819, -3.500000) (0.000000, 0.000000, 0.072819) (0.000000, 1.000000) 
(-7.750000, 0.022460, -3.250000) (0.000000, 0.000000, 0.022460) (0.000000, 1.000000) 
(-8.000000, -0.031485, -3.250000) (0.000000, 0.000000, -0.031485) (0.000000, 1.000000) 
(-7.750000, 0.022460, -3.250000) (0.000000, 0.000000, 0.022460) (0.000000, 1.000000) 
(-8.000000, 0.041066, -3.000000) (0.000000, 0.000000, 0.041066) (0.000000, 1.000000) 
(-8.000000, 0.041066, -3.000000) (0.000000, 0.000000, 0.041066) (0.000000, 1.000000) 
(-7.750000, 0.022460, -3.250000) (0.000000, 0.000000, 0.022460) (0.000000, 1.000000) 
(-7.750000, -0.029295, -3.000000) (0.000000, 0.000000, -0.029295) (0.000000, 1.000000) 
